,Polarity,Subjectivity
count,865.0,865.0
mean,0.20020809248554913,0.48995375722543355
std,0.16386662705448493,0.08601785822260911
min,-0.67,0.0
25%,0.08,0.45
50%,0.2,0.5
75%,0.3,0.54
max,1.0,0.92
